pos_x, pos_y, pos_z
-0.834449, -0.848723, 2.092524
0.121544, -0.092592, 0.405874
-0.149102, -0.008440, 0.320011
-0.847498, -1.145986, 2.798564
0.053982, -0.136901, 0.513692
0.065691, -0.119476, 0.384306
0.027094, 0.039128, 0.188804
0.044585, 0.004446, 0.487340
0.114385, 0.021915, 0.314698
0.176593, -0.090048, 0.393039
0.255756, -0.039322, 0.340228
0.067070, -0.112480, 0.396070
0.145437, -0.122886, 0.371573
0.093076, -0.129017, 0.362150
0.117108, -0.063457, 0.611179
0.099139, -0.015464, 0.471895
-0.082031, 0.030764, 0.194878
-0.083962, 0.024997, 0.167824
-0.080797, 0.032847, 0.176827
-0.079386, -0.005508, 0.202129
-0.009146, -0.037534, 0.469738
-0.061211, 0.014329, 0.419302
-0.095772, -0.063169, 0.218167
0.246497, -0.040057, 0.306470
-0.076610, -0.014355, 0.255938
-0.103633, 0.002779, 0.287817
0.250306, -0.047774, 0.292541
0.021573, 0.000117, 0.030130
0.251349, -0.025466, 0.336903
0.245930, -0.033661, 0.352664
0.142646, -0.000480, 0.243308
0.145692, -0.124968, 0.317875
0.159656, -0.052451, 0.421150
0.141582, -0.060847, 0.430790
0.101543, -0.100104, 0.390037
0.129348, -0.096707, 0.598385
0.009698, 0.012385, 0.461485
-0.159283, -0.367960, 1.195401
-0.089017, -0.009304, 0.362787
-0.116229, -0.030800, 0.380736
-0.111539, 0.008513, 0.305982
-0.253750, -0.085127, 0.582972
-0.088384, 0.023101, 0.181211
-0.009297, -0.024311, 0.351085
-0.138656, -0.013037, 0.300659
-0.702495, -0.238903, 1.536608
0.111701, -0.055063, 0.612083
-0.058034, -0.050584, 0.456644
0.094563, -0.123633, 0.597549
0.055452, 0.018536, 0.395830
-0.020660, -0.050077, 0.458474
-0.161708, -0.121897, 0.515870
0.204678, -0.121647, 0.363554
0.095304, -0.112879, 0.375258
0.100309, -0.111201, 0.363298
0.120241, -0.051095, 0.543712
-0.060253, -0.080308, 0.624198
-0.075142, -0.055385, 0.686018
0.118519, 0.022011, 0.351838
0.103293, 0.009548, 0.310733
0.057503, -0.049499, 0.327062
0.083525, 0.001375, 0.259362
0.087788, -0.002000, 0.292156
-0.002595, -0.048768, 0.270290
0.084532, -0.016041, 0.264958
0.089966, -0.001943, 0.261345
0.082575, -0.069507, 0.343108
0.099002, 0.021832, 0.299205
0.092066, 0.018094, 0.284556
0.084043, -0.001518, 0.303897
0.093830, 0.002464, 0.265579
0.094392, -0.000492, 0.303608
-0.012173, -0.038400, 0.335654
-0.004935, -0.012321, 0.356280
-0.009285, -0.066147, 0.476909
0.091649, -0.070416, 0.475963
0.213427, -0.077994, 0.377050
0.327293, -0.008562, 0.506064
0.163807, -0.042617, 0.391782
0.219297, -0.070814, 0.358358
-0.105825, 0.005189, 0.437774
0.177091, -0.024599, 0.438910
0.013837, 0.014007, 0.458905
-0.101248, 0.005901, 0.443388
-0.112552, 0.005497, 0.444336
0.177036, -0.021088, 0.404942
0.001793, -0.038832, 0.392789
0.120829, 0.017422, 0.360656
0.156791, -0.245290, 0.681226
0.031784, -0.019647, 0.216672
0.097148, 0.011513, 0.275129
0.108997, 0.017486, 0.293875
0.054991, -0.029954, 0.361727
0.109759, 0.018972, 0.282304
0.102387, -0.005194, 0.266020
0.016390, 0.015498, 0.445254
0.198395, -0.049809, 0.409138
0.026134, -0.120428, 0.518892
0.111078, 0.022750, 0.339679
0.190568, -0.084524, 0.395795
0.271453, -0.012857, 0.482666
-0.005502, -0.094494, 0.368761
-0.121109, -0.031401, 0.460782
0.221297, -0.036958, 0.406723
0.131587, 0.011750, 0.363244
-0.116559, -0.065622, 0.457664
0.098656, -0.004135, 0.297832
-0.009715, -0.043446, 0.288455
0.173654, -0.021322, 0.379339
-0.057362, -0.167452, 0.708577
-0.146874, -0.132918, 0.482119
0.102905, 0.015178, 0.309826
-0.027305, -0.041698, 0.442427
-0.001856, 0.022596, 0.361271
-0.037242, -0.017659, 0.425519
0.107786, 0.005922, 0.344649
-0.004180, -0.062515, 0.370562
0.096707, 0.021343, 0.329664
0.099758, 0.015967, 0.337134
-0.006874, -0.040938, 0.280976
0.095408, 0.003714, 0.282435
0.106911, 0.026153, 0.336396
0.097381, 0.000061, 0.268848
0.108692, -0.081458, 0.440391
0.187024, -0.040334, 0.434674
0.076752, -0.073338, 0.474672
0.087718, -0.097076, 0.394984
-0.057510, -0.099820, 0.704485
-0.056627, -0.089658, 0.508767
0.131125, -0.044561, 0.427254
0.081418, -0.071208, 0.455208
-0.110645, -0.028615, 0.435223
0.099051, 0.002905, 0.303180
-0.000403, -0.029902, 0.283665
0.092507, -0.001107, 0.271085
0.008314, -0.023644, 0.317908
0.109975, 0.017913, 0.339647
0.079917, -0.088949, 0.495294
0.074026, -0.058940, 0.469739
0.110565, 0.018287, 0.320780
0.112958, 0.007796, 0.275977
-0.105510, 0.009145, 0.425290
-0.003476, -0.010886, 0.286946
0.114016, 0.029849, 0.374418
0.079172, -0.085936, 0.476319
0.094674, -0.077893, 0.517624
0.190730, -0.018388, 0.382824
0.239806, -0.032588, 0.448797
0.090928, 0.013786, 0.296858
-0.009444, -0.035941, 0.302329
-0.010519, -0.044157, 0.305024
-0.014351, -0.006801, 0.301092
0.169935, -0.061103, 0.427488
0.001633, -0.027279, 0.277902
0.091961, -0.014966, 0.496845
0.144616, -0.016282, 0.330877
0.059234, 0.032549, 0.434939
0.227675, -0.016562, 0.390315
0.001680, -0.004906, 0.272727
-0.004974, 0.018577, 0.358883
-0.009156, -0.038828, 0.373953
0.079024, -0.126612, 0.461962
-0.002880, -0.036804, 0.284542
0.101287, 0.003873, 0.268565
0.001790, 0.013160, 0.340714
0.116348, -0.075399, 0.463258
-0.043331, -0.091675, 0.562047
-0.100560, -0.028091, 0.431180
0.000919, -0.008949, 0.274789
0.110808, 0.016166, 0.314212
0.104845, -0.069692, 0.421886
-0.048092, -0.018407, 0.428394
-0.007671, -0.000653, 0.285862
-0.005248, -0.000332, 0.292684
-0.002713, -0.037799, 0.357724
-0.007510, -0.006164, 0.299344
-0.006994, -0.047891, 0.280624
0.267283, -0.014564, 0.422384
0.223673, -0.011845, 0.390579
0.226842, -0.027456, 0.379730
0.144624, 0.013196, 0.418444
0.216095, -0.023912, 0.371116
0.221849, -0.044634, 0.375424
0.089492, -0.120048, 0.399377
0.220934, -0.043717, 0.361291
0.094134, -0.087443, 0.490833
0.105786, -0.074710, 0.409838
0.108354, -0.103833, 0.407184
0.209653, -0.015265, 0.399594
0.115283, -0.007181, 0.348900
0.133707, 0.024475, 0.346105
0.144178, -0.014499, 0.346398
0.226909, -0.025346, 0.386708
0.066069, -0.078970, 0.402322
0.150370, -0.018653, 0.342461
0.222101, -0.024372, 0.371932
0.184377, -0.014377, 0.364999
0.223662, -0.032956, 0.377522
0.011230, 0.007946, 0.465736
0.019497, -0.025133, 0.213662
-0.163841, 0.026016, 0.528381
0.125980, -0.030487, 0.353144
0.007803, -0.028084, 0.259368
0.077895, -0.014564, 0.269461
-0.003172, -0.006182, 0.286651
-0.006961, -0.034706, 0.295536
0.096229, 0.026502, 0.305628
0.096032, 0.000977, 0.323945
-0.014050, 0.011318, 0.303214
-0.003582, -0.052584, 0.272656
0.101712, 0.028441, 0.317809
0.092864, 0.010312, 0.321902
0.119123, 0.023897, 0.337840
0.057398, -0.031019, 0.374564
0.097209, -0.015061, 0.275305
0.100109, -0.043267, 0.346654
0.104403, 0.020576, 0.317161
0.096722, 0.025842, 0.326246
0.005298, -0.013382, 0.314537
0.103351, 0.031581, 0.322309
0.100425, 0.021059, 0.337839
0.117043, 0.023526, 0.335284
-0.009455, -0.002983, 0.285789
0.012733, -0.026537, 0.245059
-0.001027, 0.020624, 0.351103
-0.010035, -0.050557, 0.288375
-0.010301, -0.006893, 0.290611
0.004328, -0.013458, 0.310852
-0.002172, -0.048476, 0.269264
0.063103, -0.065336, 0.318155
0.089528, 0.028337, 0.314106
-0.065304, -0.061196, 0.599473
0.099884, 0.000895, 0.270685
0.101063, -0.105125, 0.381177
0.187216, -0.007689, 0.332627
0.045907, -0.129558, 0.445878
0.094058, 0.029101, 0.312536
0.111968, 0.010822, 0.329013
0.063881, -0.108581, 0.378378
0.015875, -0.114326, 0.399645
0.192685, -0.048810, 0.402378
0.102032, -0.080903, 0.475934
0.156086, -0.030108, 0.421462
0.158423, -0.056955, 0.423753
-0.047597, -0.098102, 0.533903
0.126293, 0.021677, 0.341888
0.100490, -0.103677, 0.385977
0.226556, -0.012205, 0.393019
0.118744, -0.099190, 0.457174
0.098601, 0.002635, 0.262461
0.079707, -0.112080, 0.424907
-0.029316, -0.094778, 0.584340
0.120110, -0.025935, 0.410780
0.119819, 0.021096, 0.360698
-0.004100, -0.010471, 0.364218
0.141006, -0.060918, 0.430525
0.117189, -0.156457, 0.690060
-0.095050, -0.084766, 0.496917
0.122653, 0.029128, 0.366950
