pos_x, pos_y, pos_z
-0.773047, -0.176168, 2.177292
-0.505565, 0.024632, 1.452697
-0.437083, -0.017981, 1.436221
-0.166774, -0.025125, 0.736989
-0.261635, -0.019551, 0.955679
-0.016319, -0.123709, 0.836821
-0.208641, -0.089954, 0.768355
0.169406, -0.010123, 0.702664
0.209681, -0.120047, 0.529384
-0.126600, 0.088465, 0.335147
-0.032600, 0.070180, 0.594919
-0.132044, 0.085388, 0.587542
0.008761, 0.094777, 0.459470
0.063610, 0.096231, 0.453588
0.029165, 0.091792, 0.341244
0.161369, 0.058391, 0.585830
0.014880, 0.071908, 0.838680
0.144362, 0.094459, 0.756959
0.099849, 0.115597, 0.636044
0.167520, 0.049125, 1.062659
0.264348, 0.038826, 0.731441
0.057643, 0.094863, 0.370059
0.156361, 0.101332, 0.464425
-0.147246, 0.073826, 0.541298
-0.175156, 0.104924, 0.744686
-0.150755, 0.089246, 0.530794
-0.128132, 0.093508, 0.572464
-0.152061, 0.051131, 0.525494
-0.149984, 0.047184, 0.518006
-0.127447, 0.057899, 0.511718
-0.217012, 0.039913, 0.594823
-0.294020, 0.041898, 0.786734
-0.006393, 0.106864, 0.768675
0.004520, 0.108846, 0.776574
-0.012625, 0.099853, 0.715179
-0.012593, 0.100167, 0.541525
0.128280, -0.118228, 0.664970
0.242567, -0.165244, 1.534996
0.142474, -0.104535, 0.655403
0.169349, 0.008391, 1.012738
0.091065, -0.079576, 0.746116
0.237715, -0.007332, 0.740915
0.257134, 0.009498, 0.735129
0.403341, 0.011207, 0.967898
-0.545881, -0.218720, 1.419771
-0.561571, -0.110020, 1.629889
-0.454803, -0.061093, 1.388015
-0.722163, -0.106735, 2.175168
-0.504054, -0.119534, 1.474215
-0.997699, -0.138829, 3.404221
-0.334384, -0.024748, 0.988891
-0.353861, -0.035557, 1.072844
-0.570323, -0.031079, 1.857050
-0.311079, -0.034694, 1.029871
-0.572503, -0.027152, 1.536712
-0.183619, 0.013355, 0.660270
-0.138442, 0.000838, 0.684158
-0.652199, -0.035694, 2.254920
0.206311, 0.006673, 0.749434
0.234149, 0.007111, 0.744850
0.217830, -0.002218, 0.743943
0.225841, -0.002455, 0.743537
0.178891, 0.014700, 0.464277
0.244916, 0.009101, 0.737111
0.245988, 0.030267, 0.747623
0.150490, -0.057895, 1.406951
0.132890, -0.044748, 0.769547
0.131110, -0.049864, 0.756464
0.232762, -0.085751, 1.148436
0.134881, -0.030596, 0.784980
0.121895, -0.063259, 0.731236
0.140053, -0.063062, 0.735196
0.153137, 0.004321, 0.761512
0.161814, 0.020858, 0.910867
0.131982, 0.003754, 0.983559
0.167651, 0.019760, 1.031789
0.091701, 0.023271, 0.799876
0.147052, 0.031686, 1.105736
0.189828, 0.039478, 1.188476
0.255591, -0.027467, 1.568827
0.152546, -0.024580, 0.858443
0.148688, -0.003428, 0.886016
0.155774, -0.009903, 0.877351
0.144789, -0.010548, 0.875277
0.151383, -0.008329, 0.782409
0.168145, -0.024586, 1.223836
0.110652, -0.025445, 0.731634
0.145043, -0.030238, 0.922463
0.107651, -0.026562, 0.778055
0.141550, -0.098485, 0.681193
0.144521, -0.077838, 0.690061
0.134765, -0.082640, 0.687612
0.143741, -0.104855, 0.690146
0.168344, -0.138049, 0.833662
0.104085, -0.114993, 0.627710
0.098285, -0.126786, 0.683440
0.105065, -0.128709, 0.698242
-0.014728, 0.118005, 0.441440
-0.016052, 0.097396, 0.471519
-0.020268, 0.087345, 0.441052
-0.084875, 0.063601, 1.141469
-0.073285, 0.049527, 1.025818
-0.020077, 0.084426, 0.492985
-0.208560, 0.049346, 0.569615
-0.199861, 0.057576, 0.553642
-0.126019, 0.058857, 0.574358
-0.143046, 0.052788, 0.516199
-0.151024, 0.079448, 0.468619
-0.220651, 0.099684, 0.590726
-0.243634, 0.109127, 0.641030
-0.185996, 0.092165, 0.518245
-0.174311, 0.088338, 0.483773
-0.187173, 0.068462, 0.535860
-0.178097, 0.077843, 0.518900
-0.164970, 0.065000, 0.468252
-0.174919, 0.080424, 0.533734
-0.179501, 0.062124, 0.502620
-0.189559, 0.059539, 0.511581
-0.184908, 0.069800, 0.489618
-0.146611, 0.100701, 0.602056
-0.135568, 0.092081, 0.578407
-0.134176, 0.089265, 0.585248
-0.185971, 0.105225, 0.616263
-0.157255, 0.069974, 0.549384
-0.181091, 0.090450, 0.716117
0.013536, 0.091311, 0.354324
0.180402, 0.066942, 0.573881
0.231776, 0.047879, 0.736646
0.197997, 0.029455, 0.746954
0.188021, 0.046299, 0.728391
0.238662, 0.030185, 0.746642
0.187638, 0.106298, 0.686828
0.154531, 0.107617, 0.617668
0.151094, 0.064107, 0.496792
0.113718, 0.054704, 1.089305
0.050222, 0.057792, 1.125703
0.129914, 0.042960, 0.974141
0.127849, 0.095786, 0.780218
0.148124, 0.067531, 0.543129
0.208075, 0.045071, 0.585317
0.193938, 0.026403, 0.494026
0.180107, 0.034070, 0.731698
-0.170785, 0.089173, 0.587167
-0.144080, 0.075881, 0.507820
-0.149154, 0.092485, 0.607642
-0.187530, 0.095609, 0.626429
-0.168790, 0.096448, 0.572765
-0.200601, 0.066999, 0.541630
-0.200038, 0.078570, 0.584355
-0.174641, 0.086030, 0.507067
-0.167059, 0.051255, 0.583366
-0.153201, 0.055255, 0.617347
-0.320649, 0.043945, 1.050502
-0.028468, 0.094893, 0.468763
0.143746, -0.116728, 0.661954
0.166282, -0.009246, 1.127875
0.163667, -0.003086, 1.038627
0.111871, -0.011359, 0.846816
0.098506, -0.001827, 0.757303
0.128205, -0.017636, 0.876182
0.149248, -0.021968, 0.759887
0.091580, 0.012915, 0.798503
0.131292, 0.012128, 0.995014
0.140102, -0.062176, 0.678111
0.119041, -0.042019, 0.784161
0.156854, -0.030315, 0.794761
0.132166, -0.035707, 0.764759
0.148352, -0.042277, 0.735790
0.099623, -0.186774, 2.704292
0.305372, -0.016066, 0.766362
0.180337, 0.003838, 0.730701
0.191448, 0.007071, 0.741507
0.191047, 0.002542, 0.741821
0.218198, 0.009369, 0.752087
-0.255417, -0.001129, 0.927353
-0.315893, -0.010117, 1.062499
-0.362117, -0.004047, 1.252731
-0.231263, -0.005635, 0.988823
-1.546360, 0.076796, 5.288509
-0.231292, 0.011647, 0.805600
-0.440812, -0.033951, 1.428427
-0.551679, 0.032402, 1.425942
-0.211345, -0.084796, 0.776704
-0.487085, -0.114853, 1.478802
-0.307839, -0.098332, 0.944408
0.055209, -0.079187, 1.486080
0.044384, -0.089136, 1.187032
0.141217, -0.002198, 0.968402
-0.144667, 0.100151, 0.612049
0.170254, 0.046645, 0.631899
0.021487, 0.094206, 0.784170
-0.007519, -0.084558, 0.702534
0.133331, 0.053219, 0.443721
0.180696, 0.099322, 0.623441
0.164793, -0.029271, 0.929080
0.072832, 0.106869, 0.659840
-0.040218, 0.107878, 0.720200
-0.009915, -0.075573, 0.739756
0.181302, 0.058788, 0.586811
0.166061, -0.051409, 0.686833
0.186347, 0.047262, 1.124595
0.172761, 0.054375, 0.620063
0.063070, 0.106727, 0.637907
0.187858, 0.087320, 0.621142
0.188791, 0.062058, 0.602444
0.091808, -0.050145, 0.709975
0.122780, -0.065083, 0.748477
0.198984, 0.023308, 0.772328
0.112119, -0.032490, 0.713859
0.185897, 0.038580, 0.718014
0.194572, 0.007781, 0.739363
0.212460, 0.032481, 0.787404
0.162970, 0.010869, 0.683934
0.173719, 0.025913, 0.913431
0.188997, 0.002480, 0.737589
0.200014, 0.031006, 0.733666
0.148545, -0.014631, 0.742781
0.180926, 0.041321, 0.523106
0.204085, 0.044700, 0.565954
0.192153, 0.041884, 0.545525
0.053604, 0.059777, 0.724620
0.172771, 0.014723, 1.060384
0.208303, 0.064359, 0.700827
0.041337, 0.042419, 1.107156
0.214219, 0.005098, 0.795537
0.159913, 0.075454, 0.512542
0.177315, -0.056657, 0.662887
0.184398, -0.022256, 1.157235
0.117309, -0.037855, 0.773113
